systype,sysid,description,default_string,translation,context
9,3190,Setup - You have 1 day remaining of your trial,You have 1 day remaining of your trial,You have 1 day remaining of your trial,
9,3191,Setup - You have @@@ days remaining of your trial,You have @@@ days remaining of your trial,You have @@@ days remaining of your trial,
9,3192,Setup - Invite,Invite,Invite,
9,3193,Setup - Invite your colleagues to trial NetHelpDesk with you,Invite your colleagues to trial NetHelpDesk with you,Invite your colleagues to trial NetHelpDesk with you,
9,3194,Setup - Add Agents via email invitation,Add $#technicians via email invitation,Add $#technicians via email invitation,
9,3195,Setup - This email address has already been invited,This email address has already been invited,This email address has already been invited,
9,3196,Setup - Invite sent,Invite sent,Invite sent,
9,3197,Setup - Enter your details to finish setting up your account,Enter your details to finish setting up your account,Enter your details to finish setting up your account,
9,3198,Setup - Thank you for confirming your email address,Thank you for confirming your email address,Thank you for confirming your email address,
9,3199,Setup - Choose a Password,Choose a Password,Choose a Password,
9,3200,Setup - Your account is ready,Your account is ready,Your account is ready,
9,3201,Setup - Please create a password for your account,Please create a password for your account,Please create a password for your account,
9,3202,Ticket Settings - Teams to show in the Tickets by Team Tree,$#sections to show in the $#requests by $#section Tree,$#sections to show in the $#requests by $#section Tree,
9,3203,Setup - Only show the Agents Teams by default,Only show the $#technicians $#sections by default,Only show the $#technicians $#sections by default,
9,3204,Setup - Enable High Contrast Mode,Enable High Contrast Mode,Enable High Contrast Mode,
9,3205,Setup - Resend email confirmation,Resend email confirmation,Resend email confirmation,
9,3206,Setup - Resend invitation,Resend invitation,Resend invitation,
9,3207,Setup - Preparing Email,Preparing Email,Preparing Email,
9,3208,Setup - Please confirm your email address to finish setting up your account,Please confirm your email address to finish setting up your account,Please confirm your email address to finish setting up your account,
9,3209,Setup - An email has been sent to you,An email has been sent to you,An email has been sent to you,
9,3210,Setup - Please use the link in this email to verify your email address,Please use the link in this email to verify your email address,Please use the link in this email to verify your email address,
9,3211,Setup - Initial Setup,Initial Setup,Initial Setup,
9,3212,Setup - @@@ of @2@ steps completed,@@@ of @2@ steps completed,@@@ of @2@ steps completed,
9,3213,Setup - Application URL,Application URL,Application URL,
9,3214,Setup - Set up email,Set up email,Set up email,
9,3215,Setup - Invite your colleagues,Invite your colleagues,Invite your colleagues,
9,3216,Setup - Book Demo,Book Demo,Book Demo,
9,3217,Setup - View Guides & Documentation,View Guides & Documentation,View Guides & Documentation,
9,3218,Setup - Visit our Support Portal,Visit our Support Portal,Visit our Support Portal,
9,3219,Setup - View and alter the urls used to access NetHelpDesk applications,View and alter the urls used to access NetHelpDesk applications,View and alter the urls used to access NetHelpDesk applications,
9,3220,Setup - Agent Web Application URL,Agent Web Application URL,Agent Web Application URL,
9,3221,Setup - End User Portal URL,End User Portal URL,End User Portal URL,
9,3222,Setup - You can alter the URL used to access these applications by editing the bindings for the sites in IIS. After editing the End User Portal URL you'll need to update it here,You can alter the URL used to access these applications by editing the bindings for the sites in IIS. After editing the End User Portal URL you'll need to update it here,You can alter the URL used to access these applications by editing the bindings for the sites in IIS. After editing the End User Portal URL you'll need to update it here,
9,3223,Setup - Please contact our Support team if you need a hand with this,Please contact our Support team if you need a hand with this,Please contact our Support team if you need a hand with this,
9,3224,Setup - Please contact our Support team if you which to change the URL for either of these applications,Please contact our Support team if you which to change the URL for either of these applications,Please contact our Support team if you which to change the URL for either of these applications,
9,3225,Setup - Your users will write to this address and their emails will be converted into Tickets. You will also reply with this address,Your users will write to this address and their emails will be converted into $#requests. You will also reply with this address,Your users will write to this address and their emails will be converted into $#requests. You will also reply with this address,
9,3226,Setup - Your trial email address,Your trial email address,Your trial email address,
9,3227,Setup - Use my support email address,Use my support email address,Use my support email address,
9,3228,Setup - Send an invitation to your colleagues to join in with your trial. This will create them an Agent account which they can use to access this trial,Send an invitation to your colleagues to join in with your trial. This will create them an Agent account which they can use to access this trial,Send an invitation to your colleagues to join in with your trial. This will create them an Agent account which they can use to access this trial,
9,3229,"Setup - That's it, you're ready to go!","That's it, you're ready to go!","That's it, you're ready to go!",
9,3230,Setup - You can return to this page at any point during your trial from the help menu,You can return to this page at any point during your trial from the help menu,You can return to this page at any point during your trial from the help menu,
9,3231,Setup - Further customisation can be done from the Configuration area,Further customisation can be done from the Configuration area,Further customisation can be done from the Configuration area,
9,3232,"Setup - If you have any questions at all or need any help with your trial, please feel free to contact our Sales or Support teams at any point","If you have any questions at all or need any help with your trial, please feel free to contact our Sales or Support teams at any point","If you have any questions at all or need any help with your trial, please feel free to contact our Sales or Support teams at any point",
9,3233,Setup - Start using NetHelpDesk,Start using NetHelpDesk,Start using NetHelpDesk,
9,3234,Setup - Take me to the Configuration page,Take me to the Configuration page,Take me to the Configuration page,
9,3235,Setup - Your email address,Your email address,Your email address,
9,3236,Setup - You can add more mailboxes by going to Configuration > Email,You can add more mailboxes by going to Configuration > Email,You can add more mailboxes by going to Configuration > Email,
9,3237,Setup - Organisation details,$#organisation details,$#organisation details,
9,3238,Setup - Enter contact information about the company you work for. This will be displayed on your End User portal,Enter contact information about the company you work for. This will be displayed on your End User portal,Enter contact information about the company you work for. This will be displayed on your End User portal,
9,3239,Items - Issue Item,Issue $#item,Issue $#item,
9,3240,Items - Quantity,Quantity,Quantity,
9,3241,Quotations - Quotation,Quotation,Quotation,
9,3242,Quotations - Quotations,Quotations,Quotations,
9,3243,Quotations - Item Code for Miscellaneous Items for Quotations and Sales Orders,$#item Code for Miscellaneous $#items for Quotations and Sales Orders,$#item Code for Miscellaneous $#items for Quotations and Sales Orders,
9,3244,Quotations - Default Quote mark up,Default Quote mark up,Default Quote mark up,
9,3245,Quotations - Default Quote expiry days,Default Quote expiry days,Default Quote expiry days,
9,3246,"Quotations - Quotes, Orders & Invoices","Quotes, Orders & Invoices","Quotes, Orders & Invoices",
9,3247,Sales Orders - Sales Order,Sales Order,Sales Order,
9,3248,Sales Orders - Sales Orders,Sales Orders,Sales Orders,
9,3249,Purchase Orders - Purchase Order,Purchase Order,Purchase Order,
9,3250,Purchase Orders - Purchase Orders,Purchase Orders,Purchase Orders,
9,3251,Quotations - Revenue,Revenue,Revenue,
9,3252,Quotations - Profit,Profit,Profit,
9,3253,Quotations - Expiry Date,Expiry Date,Expiry Date,
9,3254,Quotations - Days to deliver,Days to deliver,Days to deliver,
9,3255,Quotations - Leave empty to auto allocate,Leave empty to auto allocate,Leave empty to auto allocate,
9,3256,Quotations - Tax,Tax,Tax,
9,3257,Quotations - Discount,Discount,Discount,
9,3258,Quotations - Total Price (excluding tax),Total Price (excluding tax),Total Price (excluding tax),
9,3259,Quotations - Total Profit (excluding tax),Total Profit (excluding tax),Total Profit (excluding tax),
9,3260,Quotations - Add Item,Add $#item,Add $#item,
9,3261,Quotations - Add Ad-hoc Item,Add Ad-hoc $#item,Add Ad-hoc $#item,
9,3262,Quotations - Add New Group,Add New Group,Add New Group,
9,3263,Quotations - Edit Line,Edit Line,Edit Line,
9,3264,Quotations - Markup,Markup,Markup,
9,3265,Quotations - Optional,Optional,Optional,
9,3266,Quotations - Quotation Markup,Quotation Markup,Quotation Markup,
9,3267,Quotations - Auto Renew,Auto Renew,Auto Renew,
9,3268,Tax - Tax code,Tax code,Tax code,
9,3269,Tax - Sales,Sales,Sales,
9,3270,Tax - Purchases,Purchases,Purchases,
9,3271,Tax - Labor tax code,Labor tax code,Service tax code,
9,3272,Tax - Contract tax code,$#contract tax code,$#contract tax code,
9,3273,Tax - Item tax code,$#item tax code,$#item tax code,
9,3274,Tax - Use Item Tax,Use $#item Tax,Use $#item Tax,
9,3275,Quotations - Please select a valid User,Please select a valid $#user,Please select a valid $#user,
9,3276,Quotations - Please enter a unique reference for this Quotation,Please enter a unique reference for this Quotation,Please enter a unique reference for this Quotation,
9,3277,Quotations - Quotes,Quotes,Quotes,
9,3278,Suppliers - Supplier Status,$#supplier Status,$#supplier Status,
9,3279,Call Scripts - Call Script,Call Script,Call Script,
9,3280,Call Scripts - Call Scripts,Call Scripts,Call Scripts,
9,3281,Call Scripts - Script,Script,Script,
9,3282,Call Scripts - Question,Question,Question,
9,3283,Call Scripts - Questions,Questions,Questions,
9,3284,Call Scripts - Test Script,Test Script,Test Script,
9,3285,Call Scripts - Message,Message,Message,
9,3286,Call Scripts - Question Type,Question Type,Question Type,
9,3287,Call Scripts - Enter a Value,Enter a Value,Enter a Value,
9,3288,Call Scripts - Make a Choice,Make a Choice,Make a Choice,
9,3289,Call Scripts - Show a Message,Show a Message,Show a Message,
9,3290,Call Scripts - Populate a Field,Populate a Field,Populate a Field,
9,3291,Call Scripts - Choices,Choices,Choices,
9,3292,Call Scripts - Next in Sequence,Next in Sequence,Next in Sequence,
9,3293,Call Scripts - Terminate Script,Terminate Script,Terminate Script,
9,3294,Call Scripts - Next Question,Next Question,Next Question,
9,3295,Call Scripts - Summary,Summary,Summary,
9,3296,"Call Scripts - If set, this will show instead of the question in the transcript","If set, this will show instead of the question in the transcript","If set, this will show instead of the question in the transcript",
9,3297,Call Scripts - Input Type,Input Type,Input Type,
9,3298,Call Scripts - Drop Down,Drop Down,Drop Down,
9,3299,Call Scripts - Radio Buttons,Radio Buttons,Radio Buttons,
9,3300,Call Scripts - Single Line,Single Line,Single Line,
9,3301,Call Scripts - Single Line,Memo,Memo,
9,3302,Call Scripts - Field to Update,Field to Update,Field to Update,
9,3303,Call Scripts - Unknown Question,Unknown Question,Unknown Question,
9,3304,Call Scripts - Add Script Question,Add Script Question,Add Script Question,
9,3305,Call Scripts - Edit Script Question,Edit Script Question,Edit Script Question,
9,3306,Call Scripts - Choice Text,Choice Text,Choice Text,
9,3307,Call Scripts - Add Script Question Choice,Add Script Question Choice,Add Script Question Choice,
9,3308,Call Scripts - Edit Script Question Choice,Edit Script Question Choice,Edit Script Question Choice,
9,3309,Call Scripts - Loading Script,Loading Script,Loading Script,
9,3310,Call Scripts - This script has no questions,This script has no questions,This script has no questions,
9,3311,Call Scripts - End of script,End of script,End of script,
9,3312,Call Scripts - Unknown question type,Unknown question type,Unknown question type,
9,3313,Call Scripts - Unknown field,Unknown field,Unknown field,
9,3314,Call Scripts - Transcript,Transcript,Transcript,
9,3315,Call Scripts - Run Call Script,Run Call Script,Run Call Script,
9,3316,Call Scripts - Call Script to automatically run on the Call screen,Call Script to automatically run on the Call screen,Call Script to automatically run on the Call screen,
9,3317,Call Scripts - Choose a Call Script,Choose a Call Script,Choose a Call Script,
9,3318,Tickets - Adjust Target Date,Adjust Target Date,Adjust Target Date,
9,3319,Tickets - Enter a number of days to move the Target Date forward by,Enter a number of days to move the Target Date forward by,Enter a number of days to move the Target Date forward by,
9,3320,Tickets - No Target date has been set,No Target date has been set,No Target date has been set,
9,3321,Charge Rates - Overriding Charge Rates,Overriding Charge Rates,Overriding Charge Rates,
9,3322,"Charge Rates - If a rate is set here, this will override the rate defined in the charge rate for this Client","If a rate is set here, this will override the rate defined in the charge rate for this $#client","If a rate is set here, this will override the rate defined in the charge rate for this $#client",
9,3323,"Charge Rates - If a rate is set here, this will override the rate defined in the charge rate when this Contract is selected as the Contract override for a Ticket","If a rate is set here, this will override the rate defined in the charge rate when this is selected as the $#contract override for a $#request","If a rate is set here, this will override the rate defined in the charge rate when this is selected as the $#contract override for a $#request",
9,3324,Billing - Surcharge,Surcharge,Surcharge,
9,3325,Billing - Surcharges,Surcharges,Surcharges,
9,3326,Billing - Use Client level Surcharge,Use $#client level Surcharge,Use $#client level Surcharge,
9,3327,Qualifications - Qualification,Qualification,Qualification,
9,3328,Qualifications - Qualifications,Qualifications,Qualifications,
9,3329,Qualifications - Matched Qualifications,Matched Qualifications,Matched Qualifications,
9,3330,Qualifications - Weighting,Weighting,Weighting,
9,3331,Qualifications - This is used to identify the most suitable Agent when multiple qualifcations are matched,This is used to identify the most suitable Agent when multiple qualifcations are matched,This is used to identify the most suitable Agent when multiple qualifcations are matched,
9,3332,Qualifications - If one or more criteria are matched the Ticket will be matched to this Qualification,If one or more criteria are matched the $#request will be matched to this Qualification,If one or more criteria are matched the $#request will be matched to this Qualification,
9,3333,Qualifications - Agents must have this qualification to be assigned a Ticket that matches this qualification,Agents must have this qualification to be assigned a $#request that matches this qualification,Agents must have this qualification to be assigned a $#request that matches this qualification,
9,3334,Qualifications - Required,Required,Required,
9,3335,"Qualifications - This qualification has no criteria, and will never be matched","This qualification has no criteria, and will never be matched","This qualification has no criteria, and will never be matched",
9,3336,Qualifications - No requirements have been added for this criteria yet,No requirements have been added for this criteria yet,No requirements have been added for this criteria yet,
9,3337,Qualifications - If all the below conditions are met then this criteria will be met,If all the below conditions are met then this criteria will be met,If all the below conditions are met then this criteria will be met,
9,3338,Qualifications - Add Requirement,Add Requirement,Add Requirement,
9,3339,Qualifications - Edit Requirement,Edit Requirement,Edit Requirement,
9,3340,Qualifications - The following Agents have this Qualification,The following $#technicians have this Qualification,The following $#technicians have this Qualification,
9,3341,Qualifications - Add Agent Qualification,Add $#technician Qualification,Add $#technician Qualification,
9,3342,Tickets - Date Assigned,Date Assigned,Date Assigned,
9,3343,Quotes - Preview Print,Preview Print,Preview Print,
9,3344,Quotes - Exit Preview,Exit Preview,Exit Preview,
9,3345,Quotes - Print Options,Print Options,Print Options,
9,3346,Quotes - Include grouped items quantity,Include grouped items quantity,Include grouped items quantity,
9,3347,Quotes - Include grouped items price,Include grouped items price,Include grouped items price,
9,3348,Quotes - Include group quantity and price,Include group quantity and price,Include group quantity and price,
9,3349,Quotes - Generate PDF,Generate PDF,Generate PDF,
9,3350,Quotes - Generating PDF,Generating PDF,Generating PDF,
9,3351,Quotes - Loading PDF,Loading PDF,Loading PDF,
9,3352,Quotes - Email Quotation,Email Quotation,Email Quotation,
9,3353,Maps - Maps,Maps,Maps,
9,3354,Maps - Map,Map,Map,
9,3355,Advanced Settings - Enable Agent Online Status Tracking,Enable $#technician Online Status Tracking,Enable $#technician Online Status Tracking,
9,3356,Advanced Settings - Main Screen Refresh Interval (Minutes),Main Screen Refresh Interval (Minutes),Main Screen Refresh Interval (Minutes),
9,3357,Advanced Settings - 0 = no refresh,0 = no refresh,0 = no refresh,
9,3358,Call Plan - Enable Call Plan,Enable Call Plan,Enable Call Plan,
9,3359,"Call Plan - This allows you to track the next call date of a Client, and view Clients whose next call is due","This allows you to track the next call date of a Client, and view Clients whose next call is due","This allows you to track the next call date of a Client, and view Clients whose next call is due",
9,3360,Call Plan - Show Call Plan,Show Call Plan,Show Call Plan,
9,3361,Call Plan - Hide Call Plan,Hide Call Plan,Hide Call Plan,
9,3362,Call Plan - Next Call Date,Next Call Date,Next Call Date,
9,3363,Call Plan - Add CRM Note,Add CRM Note,Add CRM Note,
9,3364,Call Plan - Call Plan,Call Plan,Call Plan,
9,3365,Customers - My $#clients,My $#clients,My $#clients,
9,3366,Advanced - Only show icons for action buttons on mobile,Only show icons for action buttons on mobile,Only show icons for action buttons on mobile,
9,3367,Trial Setup - Start your free NetHelpDesk trial,Start your free NetHelpDesk trial,Start your free NetHelpDesk trial,
9,3368,Trial Setup - Email Address,Email Address,Email Address,
9,3369,Trial Setup - First Name,First Name,First Name,
9,3370,Trial Setup - Last Name,Last Name,Last Name,
9,3371,Trial Setup - Company Name,Company Name,Company Name,
9,3372,Trial Setup - Phone Number,Phone Number,Phone Number,
9,3373,Trial Setup - Your Domain,Your Domain,Your Domain,
9,3374,Trial Setup - Start Trial,Start Trial,Start Trial,
9,3375,Trial Setup - A problem occurred creating your Trial. Please try again later or contact support for assistance.,A problem occurred creating your Trial. Please try again later or contact support for assistance.,A problem occurred creating your Trial. Please try again later or contact support for assistance.,
9,3376,Trial Setup - The URL you have selected is not available. Please choose another.,The URL you have selected is not available. Please choose another.,The URL you have selected is not available. Please choose another.,
9,3377,Trial Setup - Google reCaptcha validation failed,Google reCaptcha validation failed,Google reCaptcha validation failed,
9,3378,Trial Setup - Please complete the reCAPTCHA,Please complete the reCAPTCHA,Please complete the reCAPTCHA,
9,3379,Trial Setup - This function is not available,This function is not available,This function is not available,
9,3380,Trial Setup - Your support address must be at least 6 characters and only contain letters and numbers.,Your support address must be at least 6 characters and only contain letters and numbers.,Your support address must be at least 6 characters and only contain letters and numbers.,
9,3381,Trial Setup - Starting Trial,Starting Trial,Starting Trial,
9,3382,Services - Allow End-Users to access the Service Catalogue via the dashboard,Allow $#endusers to access the $#service Catalogue via the dashboard,Allow $#endusers to access the $#service Catalog via the dashboard,
9,3383,Services - Allow End-Users to access My Services via the dashboard,Allow $#endusers to access My $#services via the dashboard,Allow $#endusers to access My $#services via the dashboard,
9,3384,Services - Default Ticket Type for Service Requests,Default $#requesttype for Service Requests,Default $#requesttype for Service Requests,
9,3385,Services - Default Ticket Type for Incident,Default Ticket Type for Incident,Default Ticket Type for Incident,
9,3386,Services - Catalogue Settings,Catalogue Settings,Catalog Settings,
9,3387,Services - Service Status Settings,$#service Status Settings,$#service Status Settings,
9,3388,"Services - Customise the default service status messages, which will show on the Service Details screen. These will be overridden with the latest public note when applicable.","Customise the default $#service status messages, which will show on the $#service Details screen. These will be overridden with the latest public note when applicable.","Customize the default $#service status messages, which will show on the $#service Details screen. These will be overridden with the latest public note when applicable.",
9,3389,Service Status - Ok,Ok,Ok,
9,3390,Service Status - Fault,Fault,Fault,
9,3391,Service Status - Maintenance,Maintenance,Maintenance,
9,3392,Services - Email Monitoring,Email Monitoring,Email Monitoring,
9,3393,Services - Create emails rules so that emails are recognised as Service alerts. Rules for particular services are set up from the Service details screen.,Create emails rules so that emails are recognised as Service alerts. Rules for particular services are set up from the Service details screen.,Create emails rules so that emails are recognised as Service alerts. Rules for particular services are set up from the Service details screen.,
9,3394,Services - Setup Service Email Rules,Setup Service Email Rules,Setup Service Email Rules,
9,3395,Services - Ticket Type for Service Failure Tickets,$#requesttype for $#service Failure $#requests,$#requesttype for $#service Failure $#requests,
9,3396,Services - All Services,All $#services,All $#services,
9,3397,Services - Service Category,$#service Category,$#service Category,
9,3398,Services - Service Categories,$#service Categories,$#service Categories,
9,3399,Services - Search Services,Search $#services,Search $#services,
9,3400,Services - Operational Status,Operational Status,Operational Status,
9,3401,Services - In Service Catalogue,In Service Catalogue,In Service Catalog,
9,3402,Services - Subscriber,Subscriber,Subscriber,
9,3403,Services - Subscribers,Subscribers,Subscribers,
9,3404,Services - Services by Category,$#services by Category,$#services by Category,
9,3405,Services - Change Image,Change Image,Change Image,
9,3406,Services - Estimated Delivery (hrs),Estimated Delivery (hrs),Estimated Delivery (hrs),
9,3407,Services - 0 = not used,0 = not used,0 = not used,
9,3408,Services - Is a Monitored Service,Is a Monitored $#service,Is a Monitored $#service,
9,3409,Services - Show in Service Catalogue for End-Users,Show in $#service Catalogue for $#endusers,Show in $#service Catalog for $#endusers,
9,3410,Services - Show in Service Catalogue for Agents,Show in $#service Catalogue for $#technicians,Show in $#service Catalog for $#technicians,
9,3411,Services - Users can subscribe to this Service,$#users can subscribe to this $#service,$#users can subscribe to this $#service,
9,3412,Services - Track Service Status,Track $#service Status,Track $#service Status,
9,3413,Services - Allow Subscribers to log Incidents,Allow Subscribers to log Incidents,Allow Subscribers to log Incidents,
9,3414,Services - Allow Users to log Service Requests again after subscribing,Allow $#users to log $#service Requests again after subscribing,Allow $#users to log $#service Requests again after subscribing,
9,3415,Services - Service Description,$#service Description,$#service Description,
9,3416,Services - Service Status,$#service Status,$#service Status,
9,3417,Services - Service Request Details,Service Request Details,Service Request Details,
9,3418,Services - Choose to use a specific Ticket Type or Template when a Service Request is logged,Choose to use a specific $#requesttype or Template when a Service Request is logged,Choose to use a specific $#requesttype or Template when a Service Request is logged,
9,3419,Services - Show the New Ticket screen when requesting this Service,Show the New $#request screen when requesting this $#service,Show the New $#request screen when requesting this $#service,
9,3420,"Services - Label for the ""Request this Service"" button in the Service Catalogue","Label for the ""Request this Service"" button in the $#service Catalogue","Label for the ""Request this Service"" button in the $#service Catalog",
9,3421,Services - Incident Details,Incident Details,Incident Details,
9,3422,Services - Choose to use a specific Ticket Type or Template when an Incident is logged,Choose to use a specific $#requesttype or Template when an Incident is logged,Choose to use a specific $#requesttype or Template when an Incident is logged,
9,3423,"Services - Label for the ""Log an Incident"" button in the Service Catalogue","Label for the ""Log an Incident"" button in the $#service Catalogue","Label for the ""Log an Incident"" button in the $#service Catalog",
9,3424,Services - Please select a valid Service Category,Please select a valid $#service Category,Please select a valid $#service Category,
9,3425,Services - Statistics,Statistics,Statistics,
9,3426,Services - Subscribed Users,Subscribed Users,Subscribed Users,
9,3427,Services - Linked Assets,Linked Assets,Linked Assets,
9,3428,Services - Service Requests logged (last 30 days),Service Requests logged (last 30 days),Service Requests logged (last 30 days),
9,3429,Services - Incidents logged (last 30 days),Incidents logged (last 30 days),Incidents logged (last 30 days),
9,3430,Services - Open Service Requests,Open Service Requests,Open Service Requests,
9,3431,Services - Open Incidents,Open Incidents,Open Incidents,
9,3432,Services - Service Access level,$#service Access level,$#service Access level,
9,3433,Services - Users with this Service Access level or above will be able to see this service,$#users with this $#service Access level or above will be able to see this $#service,$#users with this $#service Access level or above will be able to see this $#service,
9,3434,Services - User Access,$#user Access,$#user Access,
9,3435,Services - The following entities are able to access services in this category in the service catalogue,The following entities are able to access $#services in this category in the $#service catalogue,The following entities are able to access $#services in this category in the $#service catalog,
9,3436,Services - Users with this Service Access level or above will be able to see services with this category,$#users with this $#service Access level or above will be able to see $#services with this category,$#users with this $#service Access level or above will be able to see $#services with this category,
9,3437,Word - Everyone,Everyone,Everyone,
9,3438,Services - inherited from category,inherited from category,inherited from category,
9,3439,Services - Inherit from Service category,Inherit from $#service category,Inherit from $#service category,
9,3440,Services - The following entities are able to access this Service,The following entities are able to access this $#service,The following entities are able to access this $#service,
9,3441,Services - Subscribed entities,Subscribed entities,Subscribed entities,
9,3442,Services - Users which are members of the following entities are currently subscribed to this service,$#users which are members of the following entities are currently subscribed to this $#service,$#users which are members of the following entities are currently subscribed to this $#service,
9,3443,"Services - When a Service Request is logged, subscribe","When a $#service Request is logged, subscribe","When a $#service Request is logged, subscribe",
9,3444,Services - No-one,No-one,No-one,
9,3445,Services - The User who logged the Service Request,The $#user who logged the $#service Request,The $#user who logged the $#service Request,
9,3446,Services - The Users default Site,The $#users default $#site,The $#users default $#site,
9,3447,Services - The Client,The $#client,The $#client,
9,3448,Services - The Users default Department,The $#users default $#department,The $#users default $#department,
9,3449,Services - Show this Service on the My Services page,Show this $#service on the My $#services page,Show this $#service on the My $#services page,
9,3450,Services - Users can unsubscribe from this Service,$#users can unsubscribe from this $#service,$#users can unsubscribe from this $#service,
9,3451,Services - Service Subscribers,$#service Subscribers,$#service Subscribers,
9,3452,Services - Related Services,Related $#services,Related $#services,
9,3453,"Services - When a Service Request is logged for this Service, subscribe to the following Services","When a $#service Request is logged for this $#service, subscribe to the following $#services","When a $#service Request is logged for this $#service, subscribe to the following $#services",
9,3454,Services - Add related Service,Add related $#service,Add related $#service,
9,3455,Services - Associated Asset Type,Associated $#assettype,Associated $#assettype,
9,3456,Phrase - Please select a valid Ticket Type,Please select a valid $#requesttype,Please select a valid $#requesttype,
9,3457,Services - Public Note,Public Note,Public Note,
9,3458,Service Status - Unknown,Unknown,Unknown,
9,3459,Service Status - Ok,Ok,Ok,
9,3460,Service Status - Fault,Fault,Fault,
9,3461,Service Status - Requires Attention,Requires Attention,Requires Attention,
9,3462,Service Status - Planned Maintenance,Planned Maintenance,Planned Maintenance,
9,3463,Services - Monitoring Configuration,Monitoring Configuration,Monitoring Configuration,
9,3464,Services - Status History,Status History,Status History,
9,3465,Services - Monitoring,Monitoring,Monitoring,
9,3466,Services - Status Checking Interval (Minutes),Status Checking Interval (Minutes),Status Checking Interval (Minutes),
9,3467,Services - -1 = no status check interval,#NAME?,#NAME?,
9,3468,Services - Working hours to check,Working hours to check,Working hours to check,
9,3469,Services - 24/7,24/7,24/7,
9,3470,Services - Service URL,Service URL,Service URL,
9,3471,Services - Monitor this Service using Incoming Email Alerts,Monitor this $#service using Incoming Email Alerts,Monitor this $#service using Incoming Email Alerts,
9,3472,Services - Service Email Rules,$#service Email Rules,$#service Email Rules,
9,3473,"Services - These values are used to identify whether an incoming service email is related to this service. If any of the values match, the email will be linked to this service.","These values are used to identify whether an incoming service email is related to this $#service. If any of the values match, the email will be linked to this $#service.","These values are used to identify whether an incoming service email is related to this $#service. If any of the values match, the email will be linked to this $#service.",
9,3474,Services - Mailbox,Mailbox,Mailbox,
9,3475,Services - Subject,Subject,Subject,
9,3476,Services - Body,Body,Body,
9,3477,Services - From Address,From Address,From Address,
9,3478,Services - To Address,To Address,To Address,
9,3479,Services - Status is OK,Status is OK,Status is OK,
9,3480,Services - Receiving any message means it is OK,Receiving any message means it is OK,Receiving any message means it is OK,
9,3481,"Services - Or, the message must match to one of the following to be classed as OK","Or, the message must match to one of the following to be classed as OK","Or, the message must match to one of the following to be classed as OK",
9,3482,Services - You can use $OR$ in the string to match to more than one value,You can use $OR$ in the string to match to more than one value,You can use $OR$ in the string to match to more than one value,
9,3483,Services - Status is Fault,Status is Fault,Status is Fault,
9,3484,Services - Receiving any message means the status is Fault,Receiving any message means the status is Fault,Receiving any message means the status is Fault,
9,3485,"Services - Or, the message must match to one of the following to be classed as a Fault","Or, the message must match to one of the following to be classed as a Fault","Or, the message must match to one of the following to be classed as a Fault",
9,3486,Services - Create a Ticket on Failure,Create a $#request on Failure,Create a $#request on Failure,
9,3487,Services - Create a new Ticket each time a failure message is received,Create a new $#request each time a failure message is received,Create a new $#request each time a failure message is received,
9,3488,Services - Client/Site for Service fail Tickets,$#client/$#site for $#service fail $#requests,$#client/$#site for $#service fail $#requests,
9,3489,Services - Internal Note,Internal Note,Internal Note,
9,3490,Services - Agent at Time - @@@ at @2@,@@@ at @2@,@@@ at @2@,
9,3491,Services - Update Status,Update Status,Update Status,
9,3492,Services - Updating Status,Updating Status,Updating Status,
9,3493,Services - Logging Service Request,Logging $#service Request,Logging $#service Request,
9,3494,Services - Creating Ticket,Creating $#request,Creating $#request,
9,3495,"Services - ""@@@"" has been subscribed to ""@2@""","""@@@"" has been subscribed to ""@2@""","\""@@@\"" has been subscribed to \""@2@\""",
9,3496,Services - View as User,View as $#user,View as $#user,
9,3497,Services - Change,Change,Change,
9,3498,Services - Viewing as,Viewing as,Viewing as,
9,3499,Services - All Services,All $#services,All $#services,
9,3500,Services - Incident Catalogue,Incident Catalogue,Incident Catalog,
9,3501,Services - Catalogue Type,Catalogue Type,Catalog Type,
9,3502,Email Confirmation - If you didn't receive an email please check your Junk/Spam folder,If you didn't receive an email please check your Junk/Spam folder,If you didn't receive an email please check your Junk/Spam folder,
9,3503,Services - This user will be able to see Services with this level or above,This $#user will be able to see $#services with this level or above,This $#user will be able to see $#services with this level or above,
9,3504,Services - Can access the Service Catalogue,Can access the $#service Catalogue,Can access the $#service Catalog,
9,3505,Services - These assets will automatically be linked to Service failure Tickets,These assets will automatically be linked to $#service failure $#requests,These assets will automatically be linked to $#service failure $#requests,
9,3506,Client details - Default mailbox for new Tickets raised manually,Default mailbox for new $#requests raised manually,Default mailbox for new $#requests raised manually,
9,3507,Client details - If unset this will be taken from the Ticket Type default,If unset this will be taken from the $#requesttype default,If unset this will be taken from the $#requesttype default,
9,3508,Invoices - Please choose a Client,Please choose a $#client,Please choose a $#client,
9,3509,Portal - Email CC field for users label - Also inform,Also inform,Also inform,
9,3510,Portal - New ticket created. @@@,New ticket created. @@@,New ticket created. @@@,
9,3511,Portal - Add Note,Add Note,Add Note,
9,3512,Budgets - Budget,Budget,Budget,
9,3513,Budgets - Budgets,Budgets,Budgets,
9,3514,Budgets - Budget Type,Budget Type,Budget Type,
9,3515,Budgets - Default Rate (hrs),Default Rate (hrs),Default Rate (hrs),
9,3516,Budgets - Default Budget Type,Default Budget Type,Default Budget Type,
9,3517,Budgets - Rate,Rate,Rate,
